frame,fvdb_per_percent,fvdb_ssim,fvdb_error_pixels,spconv_per_percent,spconv_ssim,spconv_error_pixels,per_delta_fvdb_minus_spconv,ssim_delta_fvdb_minus_spconv,combined_per_percent,max_per_percent
112,0.36010742,0.99214010,3776,0.12760162,0.99821253,1338,0.23250580,-0.00607242,0.24385452,0.36010742
113,0.34732819,0.99273028,3642,0.11539459,0.99879041,1210,0.23193359,-0.00606013,0.23136139,0.34732819
114,0.33359528,0.99245551,3498,0.10337830,0.99866199,1084,0.23021698,-0.00620648,0.21848679,0.33359528
115,0.29325485,0.99328057,3075,0.08487701,0.99903447,890,0.20837784,-0.00575390,0.18906593,0.29325485
116,0.31280518,0.99287873,3280,0.09984970,0.99871474,1047,0.21295547,-0.00583600,0.20632744,0.31280518
117,0.34236908,0.99272307,3590,0.11787415,0.99869300,1236,0.22449493,-0.00596993,0.23012161,0.34236908
118,0.35209656,0.99246209,3692,0.12722015,0.99829343,1334,0.22487640,-0.00583134,0.23965836,0.35209656
119,0.30231476,0.99320352,3170,0.09651184,0.99853079,1012,0.20580292,-0.00532726,0.19941330,0.30231476
120,0.33035278,0.99243597,3464,0.09918213,0.99821513,1040,0.23117065,-0.00577916,0.21476746,0.33035278
121,0.36334991,0.99222876,3810,0.12979507,0.99812959,1361,0.23355484,-0.00590083,0.24657249,0.36334991
122,0.32520294,0.99272518,3410,0.11501312,0.99822328,1206,0.21018982,-0.00549809,0.22010803,0.32520294
123,0.34351349,0.99250490,3602,0.10213852,0.99836017,1071,0.24137497,-0.00585528,0.22282600,0.34351349
124,0.34122467,0.99244710,3578,0.09727478,0.99850752,1020,0.24394989,-0.00606043,0.21924973,0.34122467
125,0.37364960,0.99222391,3918,0.13265610,0.99822323,1391,0.24099350,-0.00599932,0.25315285,0.37364960
126,0.35877228,0.99223689,3762,0.10261536,0.99832229,1076,0.25615692,-0.00608540,0.23069382,0.35877228
127,0.34008026,0.99268459,3566,0.12502670,0.99787665,1311,0.21505356,-0.00519206,0.23255348,0.34008026
128,0.36354065,0.99235791,3812,0.12521744,0.99781349,1313,0.23832321,-0.00545558,0.24437904,0.36354065
129,0.39825439,0.99172519,4176,0.15907288,0.99736868,1668,0.23918152,-0.00564349,0.27866364,0.39825439
130,0.36554337,0.99206276,3833,0.13141632,0.99758112,1378,0.23412704,-0.00551836,0.24847984,0.36554337
131,0.35123825,0.99236441,3683,0.12865067,0.99768312,1349,0.22258759,-0.00531871,0.23994446,0.35123825
132,0.38280487,0.99179495,4014,0.12617111,0.99768136,1323,0.25663376,-0.00588641,0.25448799,0.38280487
133,0.40683746,0.99165557,4266,0.16288757,0.99729415,1708,0.24394989,-0.00563858,0.28486252,0.40683746
134,0.38633347,0.99188988,4051,0.12941360,0.99754032,1357,0.25691986,-0.00565044,0.25787354,0.38633347
135,0.38366318,0.99033717,4023,0.10614395,0.99839969,1113,0.27751923,-0.00806253,0.24490356,0.38366318
136,0.39453506,0.99014758,4137,0.10747910,0.99816309,1127,0.28705597,-0.00801551,0.25100708,0.39453506
