scene,radius,d,backend,frames,dice,fp_rate,fn_rate,fp_ratio,gv_ratio,infer_ms,pure_ms,peak_mb,predicted_pvv_folder
industrial,r30,16,fvdb,459,0.988427,0.004449,0.011493,0.418591,0.831672,31.420,27.260,393.7,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/fvdb_out/OACNNsInterleaved_final_infer_industrial_r30_dice_20260523-225022_synthetic_may19_r30_fvdb_d16_b3_depth3_100ep-final_industrial_r30_fvdb_d16_100ep_metrics_chhWZiV4/inference/0
industrial,r30,16,spconv,459,0.988413,0.004456,0.009075,0.420634,0.834802,17.705,17.290,341.6,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/spconv_out/OACNNsInterleaved_final_infer_industrial_r30_dice_20260523-230454_synthetic_may19_r30_spconv_d16_b3_depth3_100ep-final_industrial_r30_spconv_d16_100ep_metrics_1ZKm2njL/inference/0
industrial,r30,32,fvdb,459,0.965976,0.003751,0.053503,0.354118,0.749257,33.623,24.900,709.6,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/fvdb_out/OACNNsInterleaved_final_infer_industrial_r30_dice_20260523-232148_synthetic_may19_r30_fvdb_d32_b3_depth3_100ep-final_industrial_r30_fvdb_d32_100ep_metrics_IQfGtS3P/inference/0
industrial,r30,32,spconv,459,0.972556,0.003956,0.035541,0.372864,0.775774,22.956,22.505,610.9,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/spconv_out/OACNNsInterleaved_final_infer_industrial_r30_dice_20260523-233806_synthetic_may19_r30_spconv_d32_b3_depth3_100ep-final_industrial_r30_spconv_d32_100ep_metrics_2gZaPrkN/inference/0
industrial,r60,8,fvdb,246,0.989107,0.003218,0.020718,0.305403,0.717013,30.319,28.105,306.6,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/fvdb_out/OACNNsInterleaved_final_infer_industrial_r60_dice_20260523-235649_synthetic_may19_r60_fvdb_d8_b3_depth3_100ep-final_industrial_r60_fvdb_d8_100ep_metrics_N6NSpf5K/inference/0
industrial,r60,8,spconv,246,0.993335,0.003708,0.010028,0.351138,0.767308,17.147,16.716,280.5,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/spconv_out/OACNNsInterleaved_final_infer_industrial_r60_dice_20260524-000652_synthetic_may19_r60_spconv_d8_b3_depth3_100ep-final_industrial_r60_spconv_d8_100ep_metrics_EtA46W8p/inference/0
industrial,r60,16,fvdb,246,0.986902,0.003936,0.016321,0.373461,0.787150,31.436,27.318,391.0,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/fvdb_out/OACNNsInterleaved_final_infer_industrial_r60_dice_20260524-002004_synthetic_may19_r60_fvdb_d16_b3_depth3_100ep-final_industrial_r60_fvdb_d16_100ep_metrics_i3Pi3pt9/inference/0
industrial,r60,16,spconv,246,0.987362,0.003737,0.017149,0.354018,0.767259,17.547,17.132,339.2,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/spconv_out/OACNNsInterleaved_final_infer_industrial_r60_dice_20260524-003013_synthetic_may19_r60_spconv_d16_b3_depth3_100ep-final_industrial_r60_spconv_d16_100ep_metrics_j27j0PmM/inference/0
industrial,r60,32,fvdb,246,0.958751,0.003327,0.072712,0.315799,0.705558,33.657,24.955,709.6,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/fvdb_out/OACNNsInterleaved_final_infer_industrial_r60_dice_20260524-004334_synthetic_may19_r60_fvdb_d32_b3_depth3_100ep-final_industrial_r60_fvdb_d32_100ep_metrics_TPktEmKX/inference/0
industrial,r60,32,spconv,246,0.961564,0.003470,0.075707,0.329023,0.717559,23.021,22.571,610.9,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/spconv_out/OACNNsInterleaved_final_infer_industrial_r60_dice_20260524-005453_synthetic_may19_r60_spconv_d32_b3_depth3_100ep-final_industrial_r60_spconv_d32_100ep_metrics_rUecsbAf/inference/0
industrial,r90,8,fvdb,170,0.993556,0.003594,0.010759,0.336824,0.756451,30.385,27.789,306.0,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/fvdb_out/OACNNsInterleaved_final_infer_industrial_r90_dice_20260524-010900_synthetic_may19_r90_fvdb_d8_b3_depth3_100ep-final_industrial_r90_fvdb_d8_100ep_metrics_HB9bg1b0/inference/0
industrial,r90,8,spconv,170,0.993159,0.003442,0.011678,0.322834,0.742083,17.203,16.773,279.1,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/spconv_out/OACNNsInterleaved_final_infer_industrial_r90_dice_20260524-011744_synthetic_may19_r90_spconv_d8_b3_depth3_100ep-final_industrial_r90_spconv_d8_100ep_metrics_EYMQioPP/inference/0
