scene,radius,d,backend,frames,dice,fp_rate,fn_rate,fp_ratio,gv_ratio,infer_ms,pure_ms,peak_mb,predicted_pvv_folder
sponza,r90,32,spconv,98,0.946331,0.020082,0.093830,0.479514,0.625494,23.711,23.260,766.0,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/spconv_out/OACNNsInterleaved_final_infer_sponza_r90_dice_20260524-020809_synthetic_may19_r90_spconv_d32_b3_depth3_100ep-final_sponza_r90_spconv_d32_100ep_metrics_BWzhKfiH/inference/0
viking,r30,8,fvdb,818,0.962667,0.010233,0.080598,0.383524,0.583373,31.822,27.860,353.9,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/fvdb_out/OACNNsInterleaved_final_infer_viking_r30_dice_20260523-222552_synthetic_may19_r30_fvdb_d8_b3_depth3_100ep-final_viking_r30_fvdb_d8_100ep_metrics_RjacSwyO/inference/0
viking,r30,8,spconv,818,0.955151,0.007250,0.090234,0.272539,0.470158,17.197,16.775,307.2,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/spconv_out/OACNNsInterleaved_final_infer_viking_r30_dice_20260523-224417_synthetic_may19_r30_spconv_d8_b3_depth3_100ep-final_viking_r30_spconv_d8_100ep_metrics_g1qyvwX9/inference/0
viking,r30,16,fvdb,818,0.985019,0.012402,0.022040,0.463894,0.676660,34.461,27.574,462.2,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/fvdb_out/OACNNsInterleaved_final_infer_viking_r30_dice_20260523-225646_synthetic_may19_r30_fvdb_d16_b3_depth3_100ep-final_viking_r30_fvdb_d16_100ep_metrics_X5xoT7Wt/inference/0
viking,r30,16,spconv,818,0.985044,0.012103,0.019854,0.449346,0.662563,17.736,17.321,383.0,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/spconv_out/OACNNsInterleaved_final_infer_viking_r30_dice_20260523-231518_synthetic_may19_r30_spconv_d16_b3_depth3_100ep-final_viking_r30_spconv_d16_100ep_metrics_7ntYqIgS/inference/0
viking,r30,32,fvdb,818,0.959966,0.010242,0.069260,0.388421,0.590817,37.262,25.395,806.5,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/fvdb_out/OACNNsInterleaved_final_infer_viking_r30_dice_20260523-232901_synthetic_may19_r30_fvdb_d32_b3_depth3_100ep-final_viking_r30_fvdb_d32_100ep_metrics_vB3k6zU9/inference/0
viking,r30,32,spconv,818,0.971524,0.010546,0.045508,0.396482,0.603960,23.481,23.029,668.9,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/spconv_out/OACNNsInterleaved_final_infer_viking_r30_dice_20260523-234956_synthetic_may19_r30_spconv_d32_b3_depth3_100ep-final_viking_r30_spconv_d32_100ep_metrics_vQhEaMfe/inference/0
viking,r60,8,fvdb,443,0.912127,0.006523,0.171332,0.244316,0.435625,31.111,27.742,353.5,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/fvdb_out/OACNNsInterleaved_final_infer_viking_r60_dice_20260524-000046_synthetic_may19_r60_fvdb_d8_b3_depth3_100ep-final_viking_r60_fvdb_d8_100ep_metrics_YjjPkZrD/inference/0
viking,r60,8,spconv,443,0.961441,0.007708,0.081086,0.289281,0.501770,17.370,16.947,306.7,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/spconv_out/OACNNsInterleaved_final_infer_viking_r60_dice_20260524-001548_synthetic_may19_r60_spconv_d8_b3_depth3_100ep-final_viking_r60_spconv_d8_100ep_metrics_NOFPRmeO/inference/0
viking,r60,16,fvdb,443,0.962141,0.009011,0.077102,0.337596,0.551023,34.569,27.693,462.2,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/fvdb_out/OACNNsInterleaved_final_infer_viking_r60_dice_20260524-002410_synthetic_may19_r60_fvdb_d16_b3_depth3_100ep-final_viking_r60_fvdb_d16_100ep_metrics_wyk8Gmz2/inference/0
viking,r60,16,spconv,443,0.968045,0.009083,0.064747,0.339507,0.555850,17.523,17.108,383.0,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/spconv_out/OACNNsInterleaved_final_infer_viking_r60_dice_20260524-003906_synthetic_may19_r60_spconv_d16_b3_depth3_100ep-final_viking_r60_spconv_d16_100ep_metrics_RLiqS2gX/inference/0
viking,r60,32,fvdb,443,0.945889,0.008561,0.107742,0.323940,0.530017,37.139,25.349,804.7,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/fvdb_out/OACNNsInterleaved_final_infer_viking_r60_dice_20260524-004812_synthetic_may19_r60_fvdb_d32_b3_depth3_100ep-final_viking_r60_fvdb_d32_100ep_metrics_tYv6oiZP/inference/0
viking,r60,32,spconv,443,0.947173,0.008541,0.106206,0.320916,0.527393,23.539,23.088,666.9,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/spconv_out/OACNNsInterleaved_final_infer_viking_r60_dice_20260524-010421_synthetic_may19_r60_spconv_d32_b3_depth3_100ep-final_viking_r60_spconv_d32_100ep_metrics_t84bvf0w/inference/0
viking,r90,8,fvdb,304,0.937019,0.007077,0.126097,0.265176,0.478222,31.228,27.792,353.8,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/fvdb_out/OACNNsInterleaved_final_infer_viking_r90_dice_20260524-011220_synthetic_may19_r90_fvdb_d8_b3_depth3_100ep-final_viking_r90_fvdb_d8_100ep_metrics_LOn9if5O/inference/0
viking,r90,8,spconv,304,0.960544,0.007714,0.081920,0.288037,0.512073,17.315,16.886,307.1,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/spconv_out/OACNNsInterleaved_final_infer_viking_r90_dice_20260524-012602_synthetic_may19_r90_spconv_d8_b3_depth3_100ep-final_viking_r90_spconv_d8_100ep_metrics_WZygeotn/inference/0
viking,r90,16,fvdb,304,0.963868,0.009369,0.073814,0.350661,0.576665,34.488,27.503,463.6,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/fvdb_out/OACNNsInterleaved_final_infer_viking_r90_dice_20260524-013310_synthetic_may19_r90_fvdb_d16_b3_depth3_100ep-final_viking_r90_fvdb_d16_100ep_metrics_2CdQNgQL/inference/0
viking,r90,16,spconv,304,0.977611,0.010943,0.040387,0.409210,0.643610,17.935,17.522,384.2,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/spconv_out/OACNNsInterleaved_final_infer_viking_r90_dice_20260524-014823_synthetic_may19_r90_spconv_d16_b3_depth3_100ep-final_viking_r90_spconv_d16_100ep_metrics_Bx5sFsIn/inference/0
viking,r90,32,fvdb,304,0.920986,0.008187,0.162115,0.309731,0.513749,37.240,25.460,804.7,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/fvdb_out/OACNNsInterleaved_final_infer_viking_r90_dice_20260524-015609_synthetic_may19_r90_fvdb_d32_b3_depth3_100ep-final_viking_r90_fvdb_d32_100ep_metrics_bvKyN31z/inference/0
viking,r90,32,spconv,304,0.968657,0.011521,0.050654,0.434856,0.666714,23.388,22.937,666.9,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/spconv_out/OACNNsInterleaved_final_infer_viking_r90_dice_20260524-021112_synthetic_may19_r90_spconv_d32_b3_depth3_100ep-final_viking_r90_spconv_d32_100ep_metrics_NypnSbN0/inference/0
