frame,per_percent,ssim,error_pixels,total_pixels
265,0.52089691,0.99058562,5462,1048576
266,0.54111481,0.99059386,5674,1048576
267,0.55713654,0.99031728,5842,1048576
268,0.54178238,0.99045968,5681,1048576
269,0.68397522,0.98594555,7172,1048576
270,0.70791245,0.98619120,7423,1048576
271,0.67787170,0.98699920,7108,1048576
272,0.67749023,0.98675928,7104,1048576
273,0.68607330,0.98710699,7194,1048576
274,0.70409775,0.98715117,7383,1048576
275,0.68464279,0.98720031,7179,1048576
276,0.48255920,0.99185137,5060,1048576
277,0.50315857,0.99165675,5276,1048576
278,0.50897598,0.99195171,5337,1048576
279,0.47931671,0.99235894,5026,1048576
280,0.47359467,0.99226268,4966,1048576
281,0.49114227,0.99211125,5150,1048576
282,0.50563812,0.99236011,5302,1048576
283,0.47760010,0.99250733,5008,1048576
284,0.79011917,0.98496695,8285,1048576
285,0.80356598,0.98475137,8426,1048576
286,0.81567764,0.98463446,8553,1048576
287,0.78668594,0.98520120,8249,1048576
288,0.76313019,0.98573464,8002,1048576
289,0.78306198,0.98554214,8211,1048576
290,0.80118179,0.98512352,8401,1048576
291,0.78372955,0.98538431,8218,1048576
292,0.60567856,0.99011999,6351,1048576
293,0.60119629,0.98982357,6304,1048576
294,0.62828064,0.98980675,6588,1048576
295,0.59041977,0.99019817,6191,1048576
296,0.60558319,0.98990104,6350,1048576
297,0.60844421,0.99030960,6380,1048576
298,0.60625076,0.99048875,6357,1048576
299,0.59671402,0.99061833,6257,1048576
300,0.58355331,0.98975435,6119,1048576
301,0.57506561,0.98973983,6030,1048576
302,0.58546066,0.98987657,6139,1048576
303,0.54502487,0.99060460,5715,1048576
304,0.55084229,0.99059875,5776,1048576
305,0.56505203,0.99075082,5925,1048576
306,0.57315826,0.99080352,6010,1048576
307,0.55065155,0.99092700,5774,1048576
308,0.39100647,0.99282390,4100,1048576
309,0.40273666,0.99238428,4223,1048576
310,0.41313171,0.99263280,4332,1048576
311,0.37279129,0.99319238,3909,1048576
312,0.38080215,0.99298636,3993,1048576
313,0.37879944,0.99297609,3972,1048576
314,0.39644241,0.99297445,4157,1048576
315,0.37775040,0.99304887,3961,1048576
316,0.40893555,0.99137536,4288,1048576
317,0.42028427,0.99097222,4407,1048576
318,0.43478012,0.99090234,4559,1048576
319,0.39310455,0.99146783,4122,1048576
320,0.39606094,0.99116465,4153,1048576
321,0.40349960,0.99116729,4231,1048576
322,0.42238235,0.99113946,4429,1048576
323,0.39377213,0.99147768,4129,1048576
324,0.36382675,0.99124728,3815,1048576
325,0.36678314,0.99121892,3846,1048576
326,0.37994385,0.99103137,3984,1048576
327,0.35009384,0.99119227,3671,1048576
328,0.35276413,0.99110437,3699,1048576
329,0.34790039,0.99161176,3648,1048576
330,0.33988953,0.99182885,3564,1048576
331,0.32320023,0.99100074,3389,1048576
332,0.33168793,0.99062163,3478,1048576
333,0.35018921,0.99054729,3672,1048576
334,0.30889511,0.99133915,3239,1048576
335,0.31862259,0.99139717,3341,1048576
336,0.31929016,0.99162829,3348,1048576
337,0.33540726,0.99183669,3517,1048576
338,0.32329559,0.99181261,3390,1048576
339,0.32453537,0.99269672,3403,1048576
340,0.33740997,0.99252954,3538,1048576
341,0.36096573,0.99235929,3785,1048576
342,0.32577515,0.99278142,3416,1048576
343,0.32806396,0.99254581,3440,1048576
344,0.33311844,0.99271626,3493,1048576
345,0.36668777,0.99236595,3845,1048576
346,0.34360886,0.99266321,3603,1048576
347,0.32415390,0.99359531,3399,1048576
348,0.33540726,0.99345270,3517,1048576
349,0.36315918,0.99331601,3808,1048576
350,0.32157898,0.99401991,3372,1048576
351,0.32653809,0.99388960,3424,1048576
352,0.33407211,0.99375868,3503,1048576
353,0.36802292,0.99358026,3859,1048576
354,0.35181046,0.99361001,3689,1048576
355,0.27265549,0.99519744,2859,1048576
356,0.27675629,0.99526492,2902,1048576
357,0.30822754,0.99509451,3232,1048576
358,0.27818680,0.99544427,2917,1048576
359,0.28486252,0.99530850,2987,1048576
360,0.28858185,0.99527479,3026,1048576
361,0.32539368,0.99509866,3412,1048576
362,0.29344559,0.99552468,3077,1048576
363,0.27923584,0.99440844,2928,1048576
364,0.28533936,0.99436775,2992,1048576
365,0.31185150,0.99455863,3270,1048576
366,0.27093887,0.99488702,2841,1048576
367,0.28123856,0.99453700,2949,1048576
368,0.27847290,0.99474404,2920,1048576
369,0.31795502,0.99443076,3334,1048576
370,0.29077530,0.99489128,3049,1048576
371,0.34923553,0.99342385,3662,1048576
372,0.34503937,0.99351607,3618,1048576
373,0.37546158,0.99344621,3937,1048576
374,0.33931732,0.99407501,3558,1048576
375,0.34790039,0.99402298,3648,1048576
376,0.34999847,0.99402132,3670,1048576
377,0.38614273,0.99393668,4049,1048576
378,0.37431717,0.99399339,3925,1048576
379,0.38661957,0.99365811,4054,1048576
380,0.39796829,0.99356099,4173,1048576
381,0.42181015,0.99351485,4423,1048576
382,0.39577484,0.99388827,4150,1048576
383,0.39081573,0.99378823,4098,1048576
384,0.39567947,0.99377716,4149,1048576
385,0.42619705,0.99373988,4469,1048576
386,0.41589737,0.99433212,4361,1048576
387,0.35209656,0.99362642,3692,1048576
388,0.36439896,0.99338430,3821,1048576
389,0.39272308,0.99336783,4118,1048576
390,0.37107468,0.99366029,3891,1048576
391,0.35953522,0.99374833,3770,1048576
392,0.38805008,0.99372270,4069,1048576
393,0.37927628,0.99400896,3977,1048576
394,0.38137436,0.99357150,3999,1048576
395,0.40454865,0.99197001,4242,1048576
396,0.41084290,0.99341145,4308,1048576
397,0.39110184,0.99364561,4101,1048576
398,0.38404465,0.99360494,4027,1048576
399,0.38585663,0.99328807,4046,1048576
400,0.41055679,0.99391857,4305,1048576
401,0.38928986,0.99420199,4082,1048576
402,0.29735565,0.99454245,3118,1048576
403,0.31785965,0.99397464,3333,1048576
404,0.32653809,0.99382355,3424,1048576
405,0.33302307,0.99403733,3492,1048576
406,0.32672882,0.99370014,3426,1048576
407,0.32644272,0.99376022,3423,1048576
408,0.35705566,0.99382364,3744,1048576
409,0.34008026,0.99397798,3566,1048576
410,0.25310516,0.99549384,2654,1048576
411,0.26569366,0.99520047,2786,1048576
412,0.28867722,0.99473542,3027,1048576
413,0.27561188,0.99531228,2890,1048576
414,0.27055740,0.99475372,2837,1048576
415,0.26483536,0.99515110,2777,1048576
416,0.30593872,0.99513548,3208,1048576
417,0.28820038,0.99496612,3022,1048576
418,0.28791428,0.99470451,3019,1048576
419,0.29525757,0.99426938,3096,1048576
420,0.29735565,0.99445760,3118,1048576
421,0.31023026,0.99450326,3253,1048576
422,0.29058456,0.99468043,3047,1048576
423,0.29163361,0.99481715,3058,1048576
424,0.32920837,0.99446472,3452,1048576
425,0.29916763,0.99493148,3137,1048576
426,0.29172897,0.99328946,3059,1048576
427,0.29144287,0.99334894,3056,1048576
428,0.29382706,0.99322333,3081,1048576
429,0.31862259,0.99319599,3341,1048576
430,0.29582977,0.99347702,3102,1048576
431,0.29287338,0.99366214,3071,1048576
432,0.33197403,0.99378856,3481,1048576
433,0.30298233,0.99388814,3177,1048576
434,0.45576096,0.99251768,4779,1048576
435,0.45852661,0.99230529,4808,1048576
436,0.46968460,0.99212545,4925,1048576
437,0.48255920,0.99216601,5060,1048576
438,0.46129227,0.99228187,4837,1048576
439,0.46863556,0.99231338,4914,1048576
440,0.50821304,0.99196245,5329,1048576
441,0.48379898,0.99213640,5073,1048576
442,0.41580200,0.99340995,4360,1048576
443,0.42953491,0.99331744,4504,1048576
444,0.41923523,0.99347241,4396,1048576
445,0.43764114,0.99377490,4589,1048576
446,0.41027069,0.99387802,4302,1048576
447,0.40950775,0.99380624,4294,1048576
448,0.43621063,0.99397791,4574,1048576
449,0.41141510,0.99404533,4314,1048576
450,0.39720535,0.99405817,4165,1048576
451,0.41303635,0.99360464,4331,1048576
452,0.41532516,0.99348090,4355,1048576
453,0.42238235,0.99389930,4429,1048576
454,0.39052963,0.99412679,4095,1048576
455,0.39262772,0.99417794,4117,1048576
456,0.43773651,0.99397932,4590,1048576
457,0.40979385,0.99435635,4297,1048576
458,0.39911270,0.99374161,4185,1048576
459,0.41913986,0.99326713,4395,1048576
460,0.42190552,0.99332179,4424,1048576
461,0.42676926,0.99350413,4475,1048576
462,0.40159225,0.99363525,4211,1048576
463,0.40569305,0.99377969,4254,1048576
464,0.43382645,0.99368014,4549,1048576
465,0.39787292,0.99428981,4172,1048576
466,0.37155151,0.99486522,3896,1048576
467,0.39758682,0.99428391,4169,1048576
468,0.39491653,0.99449835,4141,1048576
469,0.42610168,0.99437230,4468,1048576
470,0.39205551,0.99470515,4111,1048576
471,0.39205551,0.99477361,4111,1048576
472,0.43077469,0.99459997,4517,1048576
473,0.39644241,0.99499686,4157,1048576
474,0.43849945,0.99191686,4598,1048576
475,0.45480728,0.99139868,4769,1048576
476,0.45318604,0.99186339,4752,1048576
477,0.47426224,0.99200289,4973,1048576
478,0.44670105,0.99234777,4684,1048576
479,0.45375824,0.99254344,4758,1048576
480,0.48246384,0.99271125,5059,1048576
481,0.45728683,0.99296913,4795,1048576
482,0.37364960,0.99180261,3918,1048576
483,0.39863586,0.99104373,4180,1048576
484,0.39453506,0.99097424,4137,1048576
485,0.42247772,0.99083871,4430,1048576
486,0.40445328,0.99111993,4241,1048576
487,0.39873123,0.99142840,4181,1048576
488,0.42972565,0.99121650,4506,1048576
489,0.42457581,0.99118091,4452,1048576
490,0.33264160,0.99484572,3488,1048576
491,0.34933090,0.99438924,3663,1048576
492,0.35533905,0.99446973,3726,1048576
493,0.37422180,0.99447362,3924,1048576
494,0.34217834,0.99458203,3588,1048576
495,0.33912659,0.99456826,3556,1048576
496,0.37164688,0.99446051,3897,1048576
497,0.35915375,0.99422385,3766,1048576
498,0.39930344,0.99312412,4187,1048576
499,0.42943954,0.99275603,4503,1048576
500,0.42495728,0.99267567,4456,1048576
501,0.44755936,0.99257499,4693,1048576
502,0.42686462,0.99267139,4476,1048576
503,0.41999817,0.99278889,4404,1048576
504,0.44860840,0.99262565,4704,1048576
505,0.45709610,0.99237154,4793,1048576
506,0.51898956,0.99286353,5442,1048576
507,0.53577423,0.99268934,5618,1048576
508,0.54531097,0.99234624,5718,1048576
509,0.55999756,0.99241016,5872,1048576
510,0.53939819,0.99255871,5656,1048576
511,0.54731369,0.99281380,5739,1048576
512,0.54121017,0.99289328,5675,1048576
513,0.54121017,0.99213267,5675,1048576
514,0.56161880,0.99178216,5889,1048576
515,0.54807663,0.99192697,5747,1048576
516,0.57229996,0.99177777,6001,1048576
517,0.54960251,0.99206446,5763,1048576
518,0.54874420,0.99212277,5754,1048576
519,0.56781769,0.99187239,5954,1048576
520,0.58259964,0.99176141,6109,1048576
521,1.02720261,0.98872824,10771,1048576
522,1.04990005,0.98837574,11009,1048576
523,1.04331970,0.98822828,10940,1048576
524,1.06887817,0.98812349,11208,1048576
525,1.04160309,0.98816373,10922,1048576
526,1.03864670,0.98819699,10891,1048576
527,1.04770660,0.98825208,10986,1048576
528,1.07908249,0.98746092,11315,1048576
529,1.08451843,0.98485258,11372,1048576
530,1.10883713,0.98446381,11627,1048576
531,1.11675262,0.98432332,11710,1048576
532,1.12857819,0.98458232,11834,1048576
533,1.10588074,0.98464854,11596,1048576
534,1.11951828,0.98457737,11739,1048576
535,1.12142563,0.98419181,11759,1048576
536,1.15404129,0.98371986,12101,1048576
537,0.85983276,0.99197516,9016,1048576
538,0.88596344,0.99123901,9290,1048576
539,0.88033676,0.99114574,9231,1048576
540,0.90951920,0.99082269,9537,1048576
541,0.87327957,0.99060731,9157,1048576
542,0.88024139,0.99039033,9230,1048576
543,0.87776184,0.99018773,9204,1048576
544,0.89607239,0.99005493,9396,1048576
545,0.99029541,0.99008598,10384,1048576
546,1.02424622,0.98922707,10740,1048576
547,1.00154877,0.98932784,10502,1048576
548,1.03368759,0.98900222,10839,1048576
549,1.00030899,0.98924524,10489,1048576
550,1.00584030,0.98905238,10547,1048576
551,1.00498199,0.98893503,10538,1048576
552,1.00755692,0.98895023,10565,1048576
553,1.24883652,0.98466923,13095,1048576
554,1.28593445,0.98435359,13484,1048576
555,1.26094818,0.98446319,13222,1048576
556,1.29556656,0.98426326,13585,1048576
557,1.25913620,0.98438965,13203,1048576
558,1.27801895,0.98431333,13401,1048576
559,1.27964020,0.98396821,13418,1048576
560,1.29423141,0.98390158,13571,1048576
561,0.98571777,0.98755005,10336,1048576
562,1.00946426,0.98732468,10585,1048576
563,1.02252960,0.98711802,10722,1048576
564,1.03540421,0.98712832,10857,1048576
565,1.03549957,0.98699450,10858,1048576
566,1.04475021,0.98687706,10955,1048576
567,1.04713440,0.98673874,10980,1048576
568,1.08041763,0.98608654,11329,1048576
569,0.70400238,0.98931783,7382,1048576
570,0.72612762,0.98908656,7614,1048576
571,0.74424744,0.98881681,7804,1048576
572,0.74214935,0.98846817,7782,1048576
573,0.75445175,0.98838591,7911,1048576
574,0.77638626,0.98658569,8141,1048576
575,0.77257156,0.98773734,8101,1048576
576,0.68845749,0.98797127,7219,1048576
577,0.71096420,0.98787199,7455,1048576
578,0.70104599,0.98815267,7351,1048576
579,0.71640015,0.98812146,7512,1048576
580,0.72202682,0.98792718,7571,1048576
581,0.73890686,0.98767872,7748,1048576
582,0.73623657,0.98740664,7720,1048576
583,0.75502396,0.98735667,7917,1048576
584,0.99067688,0.99173502,10388,1048576
585,1.00765228,0.99151849,10566,1048576
586,1.00688934,0.99162429,10558,1048576
587,1.03092194,0.99160173,10810,1048576
588,1.02443695,0.99152519,10742,1048576
589,1.02863312,0.99145644,10786,1048576
590,1.03492737,0.99136399,10852,1048576
591,1.05667114,0.99118201,11080,1048576
592,0.34027100,0.99651924,3568,1048576
593,0.35791397,0.99637693,3753,1048576
594,0.35638809,0.99644639,3737,1048576
595,0.37002563,0.99651031,3880,1048576
596,0.36878586,0.99643330,3867,1048576
597,0.37422180,0.99639740,3924,1048576
598,0.37775040,0.99633675,3961,1048576
599,0.38509369,0.99625525,4038,1048576
600,0.64344406,0.99403202,6747,1048576
601,0.66032410,0.99394929,6924,1048576
602,0.66175461,0.99390539,6939,1048576
603,0.69847107,0.99352521,7324,1048576
604,0.70123672,0.99353776,7353,1048576
605,0.69532394,0.99360115,7291,1048576
606,0.71420670,0.99339465,7489,1048576
